Benchpress,0,Pectoralis major;Front Delts;Triceps;,1.0;0.5;0.5;,8,12,5.0
Benchpress (Machine),0,Pectoralis major;Front Delts;Triceps;,1.0;0.5;0.5;,8,12,5.0
Squat (Machine),1,Gluteus maximus;Quadriceps;,1.0;1.0;,12,18,5.9
Squat,0,Quadriceps;Abdominals;Gluteus maximus;,1.0;1.0;1.0;,15,18,5.9
Deadlift,0,Trapezius;Latissimus dorsi;Gluteus maximus;Hamstrings;Quadriceps;,0.5;0.5;1.0;0.5;1.0;,15,18,5.0
Triceps (Cable),2,Triceps;,1.0;,12,20,5.0
Biceps (Cable),2,Biceps;,1.0;,10,15,5.0
Biceps Curls,0,Biceps;,1.0;,10,15,1.25
Side Delt Raises,0,Deltoids;,1.0;,10,15,1.5
Face Pulls,0,Trapezius;Back Delts;,1.0;1.0;,15,20,5.0
Face Pulls (Cable),2,Trapezius;Deltoids;,1.0;1.0;,13,20,5.0
Rows (Machine),1,Trapezius;Deltoids;Latissimus dorsi;,1.0;0.5;0.5;,10,15,5.0
Pec Flys (Machine),1,Pectoralis major;Deltoids;,1.0;0.5;,10,15,5.0
Pec Flys (Cable),2,Pectoralis major;Front Delts;,1.0;0.5;,8,12,2.5
Lat Pulldowns (Machine),1,Biceps;Latissimus dorsi;,0.5;1.0;,10,15,5.0
Pullups,3,Trapezius;Biceps;Abdominals;Latissimus dorsi;,0.5;0.5;0.5;1.0;,8,15,3.0
Hamstrings (Machine),1,Hamstrings;,1.0;,8,12,5.0
Triceps,0,Triceps;,1.0;,12,20,2.5
Pushup,3,Pectoralis major;Front Delts;Triceps;,1.0;0.5;0.5;,9,15,1.0
Triceps Overhead,2,Triceps;,1.0;,10,15,2.5
Jackknife,1,Abdominals;,1.0;,10,15,2.5
Back Extension,1,Latissimus dorsi;,0.5;,10,15,10.0
Trapz Shrugs,0,Trapezius;,1.0;,10,17,1.0
Side Delt (Cable),2,Deltoids;,1.0;,10,15,2.5
Upright Row,0,Trapezius;Front Delts;Deltoids;,0.75;0.25;1.0;,13,20,2.5
